MONP	SPAN	KOEI
42.0000	242.0000	860.0000
42.0000	235.0000	855.0000
40.2000	243.0000	850.0000
40.0000	245.0000	850.0000
42.0000	247.0000	860.0000
40.0000	243.0000	845.0000
40.2000	241.0000	845.0000
41.6000	244.0000	840.0000
40.1000	245.0000	825.0000
40.5000	247.0000	830.0000
41.3000	250.0000	845.0000
40.0000	250.0000	855.0000
40.0000	252.0000	880.0000
40.0000	254.0000	870.0000
40.0000	259.0000	875.0000
39.3000	256.0000	875.0000
40.5000	255.0000	880.0000
40.5000	259.0000	890.0000
38.5000	263.0000	885.0000
39.0000	257.0000	885.0000
		
